file_id,file_url,match_date,map_name,roster_type,match_result,our_score,opponent_score
1q5C_G5Z9DS8Zjmyyfih05NW6TTK7-DVR,https://drive.google.com/file/d/1q5C_G5Z9DS8Zjmyyfih05NW6TTK7-DVR/view,20260707,dust2,subbed,win,13,8
1vFxVze13qjPJrP_lmfqMP-K_3qOKJjIB,https://drive.google.com/file/d/1vFxVze13qjPJrP_lmfqMP-K_3qOKJjIB/view,20260709,dust2,full,lose,0,13
1szz4qAOJC0-ghi5dKB-q2G97u95CtYk-,https://drive.google.com/file/d/1szz4qAOJC0-ghi5dKB-q2G97u95CtYk-/view,20260709,dust2,full,win,13,8
1R_uTncrA0yuwa7NVw-77lyjQDEsqhNAI,https://drive.google.com/file/d/1R_uTncrA0yuwa7NVw-77lyjQDEsqhNAI/view,20260709,dust2,full,win,13,11
13wOf_5EFVoe0CBXzQTX2iIGFrddqk1Qe,https://drive.google.com/file/d/13wOf_5EFVoe0CBXzQTX2iIGFrddqk1Qe/view,20260710,dust2,full,win,13,4
1Sa5yiybVSzhJ-yPjws_7t87V4hKUKlS0,https://drive.google.com/file/d/1Sa5yiybVSzhJ-yPjws_7t87V4hKUKlS0/view,20260710,dust2,full,win,13,6
1vMQ23-NkdX9zbe51qK4NDwg20p_y6Y24,https://drive.google.com/file/d/1vMQ23-NkdX9zbe51qK4NDwg20p_y6Y24/view,20260710,dust2,mixed,lose,10,13
1ZAADAmaP75B2JZN72W6JkV4fRbsjYlcG,https://drive.google.com/file/d/1ZAADAmaP75B2JZN72W6JkV4fRbsjYlcG/view,20260710,dust2,mixed,win,13,3
1zKOZWl-2Wm7kYLjxsHzq89J6ySVaGR9E,https://drive.google.com/file/d/1zKOZWl-2Wm7kYLjxsHzq89J6ySVaGR9E/view,20260711,dust2,full,draw,12,12
1i9ZA83gD76hUHaVquc6I61nStOpMdDgn,https://drive.google.com/file/d/1i9ZA83gD76hUHaVquc6I61nStOpMdDgn/view,20260711,dust2,full,win,13,9
1WumIAouab3sVGU52uYeceXtCj6iLYJRv,https://drive.google.com/file/d/1WumIAouab3sVGU52uYeceXtCj6iLYJRv/view,20260711,dust2,subbed,win,13,9
1LT4X0c1JdWUdsuWG1yQXZHxNUZlo7dyH,https://drive.google.com/file/d/1LT4X0c1JdWUdsuWG1yQXZHxNUZlo7dyH/view,20260712,ancient,full,lose,3,13
1nEUCyXO89Znm1EqMnFJ3aUeZKXmK2OYQ,https://drive.google.com/file/d/1nEUCyXO89Znm1EqMnFJ3aUeZKXmK2OYQ/view,20260712,cache,full,win,13,10
1m9ETcY649fTXES6kcQWEKnwYqsqTElxu,https://drive.google.com/file/d/1m9ETcY649fTXES6kcQWEKnwYqsqTElxu/view,20260715,dust2,full,draw,12,12
1WxOlHOpGt5ycDdRtqEw3zJNWFC49FQrI,https://drive.google.com/file/d/1WxOlHOpGt5ycDdRtqEw3zJNWFC49FQrI/view,20260715,dust2,full,win,13,2
1BYgBjOBrrPOdkH6otfSX5V65L8OIgXUW,https://drive.google.com/file/d/1BYgBjOBrrPOdkH6otfSX5V65L8OIgXUW/view,20260715,dust2,full,win,13,5
