Player,Start,End,Status,SteamID
Add1t,2026-5-28,,Starter,76561199117157241
lazy_ruin,2026-5-28,,Starter,76561199042869134
-叶知秋-,2026-5-28,,Starter,76561199565720655
SingleBoy2147,2026-5-28,,Starter,76561199546986418
Alanerz,2026-5-28,,Stand-in,76561198811089347
Yab66,2026-5-29,,Stand-in,76561199513311369
qiuda,2026-5-30,2026-6-2,Starter,76561198359785869
qiuda,2026-6-2,2026-6-4,Benched,76561198359785869
qiuda,2026-6-4,,Left,76561198359785869
cAh,2026-6-11,,Starter,76561199215933598
